reference version,updated version,SMT solver,iteration,incoming time,outgoing time,f-measure,precision,recall,reference model: number of states,reference model: number of transitions,updated model: number of states,updated model: number of transitions,output model: number of states,output model: number of transitions
BitVise,OpenSSH,z3,5,0.3822963237762451,0.572498083114624,0.22957198443579765,0.2591508052708638,0.2060535506402794,67,859,32,683,71,1365
BitVise,OpenSSH,z3,6,0.3799138069152832,0.5845198631286621,0.22957198443579765,0.2591508052708638,0.2060535506402794,67,859,32,683,71,1365
BitVise,OpenSSH,z3,7,0.4828190803527832,0.5936262607574463,0.22697795071335927,0.2562225475841874,0.20372526193247964,67,859,32,683,71,1367
BitVise,OpenSSH,z3,8,0.41996073722839355,0.6179134845733643,0.23216601815823604,0.26207906295754024,0.20838183934807916,67,859,32,683,71,1363
BitVise,OpenSSH,z3,9,0.37597084045410156,0.6053051948547363,0.22697795071335927,0.2562225475841874,0.20372526193247964,67,859,32,683,71,1367
DropBear,BitVise,cvc4,1,0.374161958694458,0.4962882995605469,0.06845513413506012,0.04307334109429569,0.16666666666666666,18,222,67,859,77,1044
DropBear,BitVise,cvc4,10,0.36031579971313477,0.4918384552001953,0.06845513413506012,0.04307334109429569,0.16666666666666666,18,222,67,859,77,1044
DropBear,BitVise,cvc4,2,0.353851318359375,0.47017383575439453,0.06845513413506012,0.04307334109429569,0.16666666666666666,18,222,67,859,77,1044
DropBear,BitVise,cvc4,3,0.3539562225341797,0.47849464416503906,0.06845513413506012,0.04307334109429569,0.16666666666666666,18,222,67,859,77,1044
DropBear,BitVise,cvc4,4,0.40239715576171875,0.6429507732391357,0.06845513413506012,0.04307334109429569,0.16666666666666666,18,222,67,859,77,1044
DropBear,BitVise,cvc4,5,0.3699331283569336,0.4609706401824951,0.06845513413506012,0.04307334109429569,0.16666666666666666,18,222,67,859,77,1044
DropBear,BitVise,cvc4,6,0.365875244140625,0.47963857650756836,0.06845513413506012,0.04307334109429569,0.16666666666666666,18,222,67,859,77,1044
DropBear,BitVise,cvc4,7,0.39820170402526855,0.5213596820831299,0.06845513413506012,0.04307334109429569,0.16666666666666666,18,222,67,859,77,1044
DropBear,BitVise,cvc4,8,0.40377092361450195,0.5862758159637451,0.06845513413506012,0.04307334109429569,0.16666666666666666,18,222,67,859,77,1044
DropBear,BitVise,cvc4,9,0.371441125869751,0.5161097049713135,0.06845513413506012,0.04307334109429569,0.16666666666666666,18,222,67,859,77,1044
DropBear,BitVise,msat,1,0.2023789882659912,0.30966830253601074,0.06845513413506012,0.04307334109429569,0.16666666666666666,18,222,67,859,77,1044
DropBear,BitVise,msat,10,0.19146370887756348,0.2893552780151367,0.06845513413506012,0.04307334109429569,0.16666666666666666,18,222,67,859,77,1044
DropBear,BitVise,msat,2,0.1898810863494873,0.42400479316711426,0.06845513413506012,0.04307334109429569,0.16666666666666666,18,222,67,859,77,1044
DropBear,BitVise,msat,3,0.1891918182373047,0.314361572265625,0.06845513413506012,0.04307334109429569,0.16666666666666666,18,222,67,859,77,1044
DropBear,BitVise,msat,4,0.21271133422851562,0.3372490406036377,0.06845513413506012,0.04307334109429569,0.16666666666666666,18,222,67,859,77,1044
DropBear,BitVise,msat,5,0.19374752044677734,0.3555910587310791,0.06845513413506012,0.04307334109429569,0.16666666666666666,18,222,67,859,77,1044
DropBear,BitVise,msat,6,0.19661664962768555,0.306354284286499,0.06845513413506012,0.04307334109429569,0.16666666666666666,18,222,67,859,77,1044
DropBear,BitVise,msat,7,0.20519590377807617,0.3400402069091797,0.06845513413506012,0.04307334109429569,0.16666666666666666,18,222,67,859,77,1044
DropBear,BitVise,msat,8,0.21791553497314453,0.3846559524536133,0.06845513413506012,0.04307334109429569,0.16666666666666666,18,222,67,859,77,1044
DropBear,BitVise,msat,9,0.2004222869873047,0.49468398094177246,0.06845513413506012,0.04307334109429569,0.16666666666666666,18,222,67,859,77,1044
DropBear,BitVise,yices,1,0.15562009811401367,0.2619905471801758,0.06845513413506012,0.04307334109429569,0.16666666666666666,18,222,67,859,77,1044
DropBear,BitVise,yices,10,0.1540389060974121,0.2505464553833008,0.06845513413506012,0.04307334109429569,0.16666666666666666,18,222,67,859,77,1044
DropBear,BitVise,yices,2,0.147932767868042,0.2603483200073242,0.06845513413506012,0.04307334109429569,0.16666666666666666,18,222,67,859,77,1044
DropBear,BitVise,yices,3,0.1481456756591797,0.24425649642944336,0.06845513413506012,0.04307334109429569,0.16666666666666666,18,222,67,859,77,1044
DropBear,BitVise,yices,4,0.1811981201171875,0.33148622512817383,0.06845513413506012,0.04307334109429569,0.16666666666666666,18,222,67,859,77,1044
DropBear,BitVise,yices,5,0.1582803726196289,0.24335074424743652,0.06845513413506012,0.04307334109429569,0.16666666666666666,18,222,67,859,77,1044
